,Player,Role,Amount,Player Origin
794,Sayan Ghosh,Bowler,2000000,Indian
795,Sayan Mondal,All-Rounder,1000000,Indian
796,Scott Boland,Bowler,5000000,Overseas
798,Sean Abbott,Bowler,24000000,Overseas
800,Shadab Jakati,All-Rounder,2000000,Indian
802,Shahbaz Ahmed,All-Rounder,24000000,Indian
805,Shahbaz Nadeem,Bowler,5000000,Indian
807,Shahrukh Khan,All-Rounder,90000000,Indian
810,Shakib Al Hasan,All-Rounder,32000000,Overseas
812,Shane Watson,All-Rounder,40000000,Overseas
813,Sharad Lumba,Batsman,2000000,Indian
816,Shardul Thakur,Bowler,107500000,Indian
819,Shashank Singh,All-Rounder,2000000,Indian
820,Shaun Marsh,Batsman,22000000,Overseas
821,Sheldon Cottrell,Bowler,85000000,Overseas
824,Sheldon Jackson,Wicket Keeper,6000000,Indian
825,Shelley Shaurya,Bowler,1000000,Indian
827,Sherfane Rutherford,All-Rounder,10000000,Overseas
829,Shikhar Dhawan,Batsman,82500000,Indian
832,Shimron Hetmyer,Batsman,85000000,Overseas
833,Shishir Bhavane,Batsman,1000000,Indian
836,Shivam Dube,All-Rounder,40000000,Indian
838,Shivam Mavi,All-Rounder,72500000,Indian
839,Shivam Sharma,Bowler,1000000,Indian
840,Shivil Kaushik,Bowler,1000000,Indian
841,Shreevats Goswami,Wicket Keeper,10000000,Indian
844,Shreyas Gopal,Bowler,7500000,Indian
846,Shreyas Iyer,Batsman,122500000,Indian
847,Shrikant Munde,All-Rounder,2000000,Indian
848,Shubham Agarwal,All-Rounder,1000000,Indian
849,Shubham Garhwal,All-Rounder,2000000,Indian
850,Shubham Ranjane,All-Rounder,2000000,Indian
851,Shubman Gill,Batsman,18000000,Indian
854,Siddarth Kaul,Bowler,38000000,Indian
855,Siddarth Kaul,Bowler,7500000,Indian
857,Siddhesh Lad,Batsman,2000000,Indian
858,Simarjeet Singh,Bowler,2000000,Indian
859,Srikkanth Anirudha,Batsman,2000000,Indian
861,Steven Smith,Batsman,22000000,Overseas
863,Stuart Binny,All-Rounder,5000000,Indian
864,Subhranshu Senapati,Batsman,2000000,Indian
865,S Badrinath,Batsman,3000000,Indian
866,Sudeep Tyagi,Bowler,7500000,Indian
867,Sumit Narwal,All-Rounder,1000000,Indian
869,Suryakumar Yadav,Batsman,32000000,Indian
870,Sushant Marathe,Wicket Keeper,1000000,Indian
871,Suyash Prabhudessai,All-Rounder,2000000,Indian
872,Suyash Prabhudessai,All-Rounder,3000000,Indian
873,Swapnil Singh,All-Rounder,1000000,Indian
876,Khaleel Ahmed,Bowler,52500000,Indian
877,Mehdi Hassan,All-Rounder,2000000,Indian
879,T Natarajan,Bowler,4000000,Indian
880,T Natarajan,Bowler,40000000,Indian
882,Tajinder Singh,All-Rounder,2000000,Indian
884,Tanmay Agarwal,Batsman,2000000,Indian
885,Tanmay Mishra,Batsman,1000000,Indian
886,Tejas Baroka,Bowler,2000000,Indian
887,Tejas Singh Baroka,Bowler,1000000,Indian
890,Thisara Perera,All-Rounder,10000000,Overseas
891,Tim David,All-Rounder,82500000,Overseas
892,Tim Seifert,Wicket Keeper,5000000,Overseas
896,Tim Southee,Bowler,15000000,Overseas
897,Tirumalasetti Suman,Batsman,1000000,Indian
898,Tom Banton,Batsman,10000000,Overseas
900,Tom Curran,All-Rounder,52500000,Overseas
902,Travis Head,Batsman,5000000,Overseas
906,Trent Boult,Bowler,80000000,Overseas
908,Tushar Deshpande,Bowler,2000000,Indian
910,Tymal Mills,Bowler,15000000,Overseas
911,Umang Sharma,Batsman,1000000,Indian
915,Umesh Yadav,Bowler,20000000,Indian
916,Unmukt Chand,Batsman,6500000,Indian
917,Utkarsh Singh,All-Rounder,2000000,Indian
919,Vaibhav Arora,Bowler,20000000,Indian
920,Vaibhav Rawal,All-Rounder,1000000,Indian
924,Varun Aaron,Bowler,5000000,Indian
926,Varun Chakravarthy,All-Rounder,40000000,Indian
927,Veer Pratap Singh,Bowler,4000000,Indian
928,Venkatesh Iyer,All-Rounder,2000000,Indian
929,Venugopal Rao,Batsman,5500000,Indian
930,Vicky Ostwal,All-Rounder,2000000,Indian
934,Vijay Shankar,All-Rounder,14000000,Indian
935,Vijay Zol,Batsman,3000000,Indian
936,Vikas Tokas,Bowler,1000000,Indian
938,Vikramjeet Malik,Bowler,2000000,Indian
939,Virat Singh,Batsman,19000000,Indian
940,Virender Sehwag,Batsman,32000000,Indian
942,Vishnu Vinod,Wicket Keeper,5000000,Indian
943,Wanindu Hasaranga,All-Rounder,107500000,Overseas
944,Washington Sundar,All-Rounder,87500000,Indian
945,Wayne Parnell,Bowler,10000000,Overseas
949,Wriddhiman Saha,Wicket Keeper,19000000,Indian
950,Writtick Chatterjee,All-Rounder,2000000,Indian
951,Yash Dayal,Bowler,32000000,Indian
952,Yash Dhull,All-Rounder,5000000,Indian
953,Yashasvi Jaiswal,All-Rounder,24000000,Indian
954,Yogesh Golwalkar,All-Rounder,1000000,Indian
955,Yogesh Takawale,Wicket Keeper,1000000,Indian
956,Yudhvir Singh,All-Rounder,2000000,Indian
958,Yusuf Pathan,All-Rounder,19000000,Indian
963,Yuvraj Singh,All-Rounder,10000000,Indian
